epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3254,1.6849,2.00185,1.17478,0.65781,0.45839,0.506,0.25728,1.56728,2.28195,2.10356,0.000661417,0.000661417,0.000661417
2,96.9751,1.72074,1.50197,1.20278,0.47652,0.54453,0.46634,0.2107,1.86991,2.04981,2.28419,0.00130179,0.00130179,0.00130179
3,141.165,1.70849,1.3222,1.22749,0.60177,0.59782,0.60454,0.29069,1.74823,1.74825,2.0732,0.00191576,0.00191576,0.00191576
4,185.25,1.69422,1.1793,1.19691,0.52023,0.52871,0.49177,0.2147,2.01347,1.95914,2.19295,0.0018812,0.0018812,0.0018812
5,230.004,1.6519,1.12983,1.17887,0.73863,0.61314,0.66856,0.32189,1.63619,1.2674,1.95316,0.0018416,0.0018416,0.0018416
6,274.012,1.60542,1.05722,1.17763,0.54276,0.55255,0.48549,0.23999,1.75243,1.62895,2.18059,0.001802,0.001802,0.001802
7,318.287,1.61916,1.0618,1.17917,0.82339,0.70105,0.75082,0.38777,1.54592,1.07277,1.83605,0.0017624,0.0017624,0.0017624
8,361.321,1.57787,1.00342,1.13866,0.73248,0.61956,0.69018,0.32767,1.69441,1.22275,2.05113,0.0017228,0.0017228,0.0017228
9,404.305,1.55301,0.98791,1.14807,0.82155,0.72336,0.78259,0.40404,1.49929,0.96938,1.80002,0.0016832,0.0016832,0.0016832
10,447.468,1.54355,0.95327,1.14415,0.81227,0.69635,0.75022,0.39259,1.55579,1.06516,1.86512,0.0016436,0.0016436,0.0016436
11,490.703,1.52741,0.92033,1.11815,0.76781,0.73066,0.76505,0.41066,1.46084,1.01799,1.80761,0.001604,0.001604,0.001604
12,533.76,1.52381,0.91142,1.13105,0.76452,0.71241,0.75854,0.41165,1.49312,0.97141,1.80286,0.0015644,0.0015644,0.0015644
13,577.018,1.50374,0.91068,1.10954,0.78197,0.73504,0.77189,0.42074,1.48774,0.91888,1.82626,0.0015248,0.0015248,0.0015248
14,619.892,1.47389,0.88485,1.11302,0.85262,0.75167,0.80494,0.42858,1.47118,0.8827,1.7971,0.0014852,0.0014852,0.0014852
15,662.849,1.45684,0.88322,1.10391,0.83278,0.7708,0.81153,0.42383,1.51152,0.89292,1.82893,0.0014456,0.0014456,0.0014456
16,705.477,1.49233,0.88657,1.09899,0.81848,0.7562,0.79276,0.42361,1.45974,0.89665,1.74755,0.001406,0.001406,0.001406
17,748.029,1.45565,0.86416,1.09483,0.84103,0.76847,0.82266,0.44716,1.45355,0.82587,1.80953,0.0013664,0.0013664,0.0013664
18,790.82,1.46291,0.85017,1.08791,0.84632,0.78832,0.8294,0.446,1.45667,0.81557,1.80031,0.0013268,0.0013268,0.0013268
19,834.123,1.41789,0.81363,1.0673,0.83461,0.71898,0.78271,0.40897,1.46055,0.84466,1.74034,0.0012872,0.0012872,0.0012872
20,876.988,1.4402,0.82716,1.08438,0.85447,0.74574,0.81455,0.4491,1.42752,0.79761,1.76035,0.0012476,0.0012476,0.0012476
21,919.555,1.39444,0.79855,1.06725,0.85763,0.77826,0.82662,0.45183,1.43755,0.78495,1.80444,0.001208,0.001208,0.001208
22,965.799,1.40992,0.80586,1.07552,0.84825,0.75891,0.81067,0.43973,1.40091,0.81407,1.79699,0.0011684,0.0011684,0.0011684
23,1009.52,1.4048,0.79346,1.06915,0.85911,0.76109,0.80622,0.44172,1.42987,0.81718,1.75478,0.0011288,0.0011288,0.0011288
24,1052.61,1.39395,0.77493,1.06254,0.85993,0.78686,0.82932,0.45794,1.41167,0.79081,1.77571,0.0010892,0.0010892,0.0010892
25,1096.57,1.37232,0.78361,1.06962,0.8458,0.79675,0.83161,0.45733,1.43562,0.80067,1.77639,0.0010496,0.0010496,0.0010496
26,1140.52,1.37191,0.78489,1.06512,0.84205,0.76642,0.81955,0.45047,1.424,0.77423,1.74261,0.00101,0.00101,0.00101
27,1184.27,1.38347,0.77198,1.05782,0.88062,0.78175,0.8421,0.46949,1.40842,0.73686,1.78032,0.0009704,0.0009704,0.0009704
28,1251.44,1.37716,0.75024,1.04835,0.85775,0.78782,0.82631,0.45041,1.40599,0.7111,1.75871,0.0009308,0.0009308,0.0009308
29,1348.6,1.32498,0.75134,1.06044,0.88381,0.77226,0.83013,0.46035,1.39137,0.80227,1.71903,0.0008912,0.0008912,0.0008912
30,1454.39,1.36539,0.75801,1.05689,0.8259,0.77217,0.81662,0.46047,1.36811,0.78438,1.73147,0.0008516,0.0008516,0.0008516
31,1579.84,1.33648,0.72837,1.03835,0.8656,0.8039,0.84038,0.46591,1.36799,0.75693,1.71764,0.000812,0.000812,0.000812
32,1698.31,1.32185,0.71662,1.03954,0.87182,0.77445,0.82881,0.47529,1.36726,0.70065,1.73489,0.0007724,0.0007724,0.0007724
33,1808.76,1.32336,0.72266,1.04463,0.85974,0.7964,0.84419,0.46974,1.33171,0.70058,1.69046,0.0007328,0.0007328,0.0007328
